,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Windspeed
276,Vardo,1,US,1515298500,55,39.6165,-77.7392,14,16.11
277,Castro,88,CL,1515300327,97,-42.4824,-73.7644,56.51,4.41
278,Araouane,0,ML,1515300328,61,18.9041,-3.5276,49.26,2.73
279,Zwedru,0,LR,1515300329,89,6.0687,-8.1343,68.52,5.19
280,Tabou,0,CI,1515300330,100,4.4194,-7.3604,80.76,10.67
281,Kuopio,0,FI,1515298800,79,62.8925,27.6782,19.4,11.41
282,Port Said,0,EG,1515300331,80,25.339,30.5528,41.66,3.18
283,Omboue,80,GA,1515300332,100,-1.5747,9.2618,76.94,5.08
284,Puerto Suarez,88,BO,1515300332,100,-18.9629,-57.7974,71.49,3.06
285,Sao Jose da Coroa Grande,76,BR,1515300333,100,-8.8978,-35.1478,72.66,2.06
286,Dunnville,20,CA,1515298020,83,42.9041,-79.6173,6.8,4.7
287,Puerto Baquerizo Moreno,8,EC,1515300334,100,-0.9,-89.6,72.66,11.12
288,Korem,56,ET,1515300335,89,12.5075,39.5223,56.46,1.95
289,Kananga,92,CD,1515300335,100,-5.8952,22.4086,65.46,4.41
290,Menongue,0,AO,1515300336,71,-14.6611,17.682,66.81,4.07
291,Husavik,76,CA,1515300337,83,50.5623,-96.9949,15.29,9.78
292,Xacmaz,32,AZ,1515300337,100,41.4635,48.806,31.22,0.38
293,Matara,92,PE,1515300338,99,-13.7417,-72.8996,44.27,1.61
294,Coquimbo,20,CL,1515297600,87,-29.9532,-71.3381,59,1.12
295,Cidreira,64,BR,1515300340,80,-30.1658,-50.2184,67.94,7.09
296,Gamba,0,CN,1515300341,53,28.2785,88.5182,18.62,2.95
297,Patnagarh,0,IN,1515300341,66,20.7068,83.13,73.47,4.52
298,Cap Malheureux,75,MU,1515297600,88,-19.9842,57.6142,82.4,13.87
299,Bereda,40,ES,1515299400,100,43.2686,-7.5406,37.4,8.66
300,Praia da Vitoria,75,PT,1515297600,93,38.7333,-27.0667,59,15.26
301,Hazorasp,90,UZ,1515297600,93,41.3154,61.0841,35.6,6.08
302,French Harbor,90,HN,1515297600,100,16.35,-86.4334,68,9.17
303,Umm Kaddadah,0,SD,1515300345,49,13.6017,26.6876,51.96,13.47
304,Buta,0,CD,1515300346,68,2.7933,24.7287,71.09,4.63
305,Ajaccio,0,FR,1515299400,42,41.9264,8.7376,64.4,9.17
306,Shyroke,88,UA,1515300349,97,47.9574,38.2307,34.23,9.55
307,Cookeville,1,US,1515298500,84,36.1628,-85.5017,15.8,3.18
308,Kupino,0,RU,1515300351,75,54.3649,77.3085,-6.63,8.55
309,San Rafael,0,AR,1515300352,57,-34.6127,-68.3306,56.06,2.39
310,Deer Lake,90,CA,1515297600,85,49.1825,-57.4302,17.6,21.92
311,Ostrovnoy,80,RU,1515300354,94,68.0544,39.5129,24.56,10.11
312,Shepsi,0,RU,1515300354,100,44.0384,39.1487,50.84,12.57
313,Totskoye,92,RU,1515300355,90,52.5301,52.7484,19.52,8.21
314,Presidencia Roque Saenz Pena,0,AR,1515300356,45,-26.7853,-60.4388,67.76,9.1
315,Chicama,90,PE,1515297600,88,-7.8435,-79.1452,68,6.93
316,Awjilah,8,LY,1515300357,78,29.1403,21.2975,42.78,2.73
317,Kinango,92,KE,1515300357,97,-4.1333,39.3166,79.37,10.11
318,Burgeo,76,CA,1515300358,100,47.6125,-57.6096,26.54,37.85
319,Dhidhdhoo,0,MV,1515300359,100,6.8833,73.1,80.36,6.64
320,Darlowo,20,PL,1515300359,100,54.421,16.4107,37.25,16.71
321,Constitucion,0,MX,1515300360,70,23.9912,-104.675,38.42,2.51
322,Lulea,0,SE,1515298800,78,65.5842,22.1547,17.6,13.87
323,Bodo,0,CI,1515300362,94,5.908,-4.6846,71.27,6.08
324,Ilhabela,92,BR,1515300363,100,-23.7781,-45.3581,76.71,4.52
325,Vila Velha,40,BR,1515297600,78,-3.7125,-38.6045,80.6,12.75
326,Carbonia,0,IT,1515298800,67,39.1653,8.5278,59,13.87
327,Kharp,68,RU,1515300364,91,66.8152,65.8009,13.98,4.18
328,Kargopol,88,RU,1515300365,91,61.5071,38.9456,30.54,15.14
329,Najran,0,SA,1515297600,40,17.544,44.2247,51.8,4.7
330,Geraldton,90,CA,1515297600,78,49.7189,-86.9494,10.4,11.41
331,Kisesa,80,TZ,1515300367,100,-2.5547,33.045,66.5,5.08
332,Pineto,24,IT,1515297960,100,42.6073,14.0673,35.6,3.36
333,Gardabani,90,GE,1515297600,100,41.4635,45.0894,37.4,4.7
334,Dwarka,0,IN,1515297600,93,28.5772,77.0443,46.4,6.93
335,Kargil,0,PK,1515300369,71,34.5594,76.1256,-20.04,0.94
336,Dyatkovo,90,RU,1515297600,100,53.601,34.3381,37.4,8.95
337,San Esteban,0,CL,1515297600,33,-32.7991,-70.5796,75.2,4.7
338,Marienburg,75,DE,1515298800,80,52.1153,9.9796,35.6,9.17
339,Beloha,100,MG,1515300373,97,-25.1739,45.0615,73.02,17.83
340,Ocean City,1,US,1515297360,51,30.441,-86.6136,44.6,3.36
341,Penzance,8,GB,1515297000,74,50.1213,-5.533,37.4,23.04
342,Belmonte,76,PT,1515300375,82,40.3583,-7.3513,33.42,11.68
343,Chhapar,0,IN,1515300376,61,27.8178,74.4428,62.27,4.63
344,Carolina,40,PR,1515297360,88,18.3794,-65.9577,78.8,12.75
345,Baloda,0,IN,1515300378,64,22.15,82.4833,71.27,4.52
346,Hobyo,8,SO,1515300379,71,5.3505,48.5268,78.87,19.06
347,Thohoyandou,44,ZA,1515300380,74,-22.9677,30.4597,71,3.51
348,Teshie,0,GH,1515297600,94,5.5822,-0.1136,77,5.82
349,Lodja,76,CD,1515300381,93,-3.5242,23.601,70.68,3.18
350,Sangamner,0,IN,1515300381,43,19.5695,74.2021,76.26,5.97
351,Sedkyrkeshch,75,RU,1515297600,85,61.7248,50.956,15.8,11.18
352,Lyuban,80,BY,1515300383,96,52.7959,27.9981,36.84,10.11
353,De Aar,0,ZA,1515300384,24,-30.6506,24.0075,75.18,5.41
354,Dymer,56,UA,1515297600,100,50.7835,30.3078,39.2,6.71
355,Fjerritslev,0,DK,1515300385,75,57.0813,9.2664,28.52,8.99
356,Moville,1,US,1515298500,67,42.4888,-96.0725,17.6,17.22
357,Birin,0,SY,1515300386,75,35.0119,36.667,34.1,2.95
358,Nurota,90,UZ,1515297600,93,40.5614,65.6886,39.2,4.7
359,La Rioja,24,AR,1515300273,91,-29.4128,-66.8559,65.69,2.39
360,Atyrau,90,KZ,1515297600,100,47.105,51.9236,24.8,2.24
361,Beitbridge,0,ZA,1515300389,63,-22.2101,29.9925,76.89,7.76
362,Harper,90,US,1515298500,87,30.2999,-99.2443,51.8,8.05
363,Luanda,75,AO,1515297600,83,-8.8272,13.2437,77,2.24
364,Kayerkan,12,RU,1515300391,46,69.3497,87.7602,-15.32,2.95
365,Yokadouma,0,CM,1515300392,84,3.5169,15.0521,58.62,2.06
366,Hambantota,0,LK,1515300392,100,6.1241,81.1185,79.68,6.08
367,Shahpur,0,IN,1515300393,42,22.1936,77.9051,75.72,4.52
368,Warri,0,NG,1515300394,94,5.517,5.75,65.82,3.06
369,Havelock,1,US,1515297480,52,34.8785,-76.9015,17.6,5.82
370,Mugango,88,TZ,1515300396,100,-1.6882,33.7036,66.05,5.19
371,Lixourion,32,GR,1515300396,100,38.2019,20.4314,56.37,10.11
372,Kurchum,48,KZ,1515300397,79,48.5722,83.6542,-12.89,1.72
373,Ereymentau,0,KZ,1515300397,35,51.6199,73.1033,-10.41,3.06
374,Dunn,1,US,1515299400,84,35.3063,-78.609,19.4,7.43
375,Prigoria,0,RO,1515300399,74,45.0708,23.6865,26.76,2.06
376,Vestmanna,92,FO,1515298800,100,62.1564,-7.1664,35.6,12.75
377,Yekaterinovka,80,RU,1515300400,94,46.6945,38.7527,33.56,5.75
378,Saint-Leu,92,RE,1515297600,74,-21.15,55.2833,80.6,6.93
379,Ugoofaaru,0,MV,1515300402,100,5.6667,73,81.03,10.22
380,Sindgi,0,IN,1515300403,43,16.9167,76.2333,81.26,4.52
381,Hoegaarden,75,BE,1515299100,86,50.7742,4.887,37.4,13.87
382,Tamale,0,GH,1515300404,51,9.4043,-0.8431,56.87,2.51
383,Krasyliv,88,UA,1515300404,93,49.655,26.9732,40.94,5.53
384,Slonim,88,BY,1515300405,95,53.0927,25.3193,34.68,8.1
385,Antanifotsy,92,MG,1515300405,92,-19.661,47.3241,64.29,11.79
386,Beboto,0,TD,1515300406,69,8.2668,16.939,54.57,2.73
387,Owando,20,CG,1515300407,88,-0.491,15.9079,71.67,2.95
388,At-Bashi,36,KG,1515300407,81,41.1702,75.8106,11.73,3.06
389,Bata,8,GQ,1515300408,100,1.8651,9.7687,75.77,3.62
390,Garmsar,48,IR,1515300409,81,35.2223,52.3384,34.68,5.08
391,Pauini,76,BR,1515300409,99,-7.7123,-66.9999,72.44,2.62
392,Castelldefels,40,ES,1515299400,71,41.2861,1.9824,57.2,13.87
393,Guider,0,CM,1515300410,60,9.933,13.944,50.52,3.74
394,Jalu,8,LY,1515300411,77,29.0331,21.5482,42.96,2.73
395,Brokopondo,0,SR,1515297600,100,5.0568,-54.9767,73.4,3.36
396,Talnakh,0,RU,1515300413,28,69.494,88.3908,-19.46,2.62
397,Sao Filipe,0,CV,1515300414,99,14.8961,-24.4956,71.04,19.17
398,Pangody,92,RU,1515300414,93,65.85,74.4859,20.91,8.1
399,Contamana,64,PE,1515300415,93,-7.3505,-75.0091,75.95,3.06
400,Altoona,40,US,1515298500,65,40.5187,-78.3948,3.2,6.93
401,Marsberg,90,DE,1515298800,93,51.4542,8.855,37.4,10.29
402,Rostovka,0,RU,1515297600,68,55.0196,73.5808,-14.81,4.47
403,Marquette,90,US,1515298680,65,46.5435,-87.3965,8.6,18.34
404,Humaita,0,AR,1515297600,93,-24.9316,-65.3666,66.2,1.05
405,Sayyan,0,YE,1515300419,58,15.1718,44.3244,52.01,1.61
406,Buraydah,0,SA,1515297600,66,26.3317,43.9717,53.6,10.29
407,Kasongo-Lunda,44,CD,1515300420,96,-6.4787,16.8168,68.88,2.51
408,Storforshei,44,NO,1515300421,91,66.4043,14.5233,17.04,2.06
409,Visnes,88,NO,1515298800,80,59.3556,5.2242,30.2,9.17
410,Bayan,68,MN,1515300422,67,47.2517,107.5374,8.45,11.45
411,Les Cayes,68,HT,1515300424,100,18.1944,-73.7512,77.12,7.09
412,Tocopilla,0,CL,1515300424,100,-22.092,-70.198,58.08,4.07
413,Bilma,0,NE,1515300425,78,18.6929,12.9187,46.02,5.08
414,Oksovskiy,88,RU,1515300425,88,62.6096,39.9116,31.53,9.22
415,Sistranda,75,NO,1515297000,69,63.7256,8.834,33.8,27.51
416,Coruche,20,PT,1515299400,75,38.9578,-8.5286,48.2,6.93
417,Olinda,75,EC,1515297600,69,-2.0334,-79.75,77,9.17
418,La Palma,92,CO,1515300429,97,5.3606,-74.3906,65.6,2.39
419,Bushehr,0,IR,1515297600,59,28.9685,50.8403,66.2,9.17
420,Shahr-e Babak,24,IR,1515300431,40,30.1192,55.1243,41.61,4.97
421,Severnyy-Kospashskiy,80,RU,1515300432,84,59.0925,57.8008,13.85,12.01
422,Sheregesh,80,RU,1515300432,66,52.9263,87.9773,7.23,2.95
423,Mecca,0,SA,1515297600,68,21.426,39.8297,64.4,4.07
424,Cangucu,0,BR,1515300434,76,-31.395,-52.6756,57.32,7.09
425,Biella,90,IT,1515298800,93,45.5664,8.0543,44.6,1.12
426,Zheleznodorozhnyy,40,RU,1515297600,86,55.7503,38.0042,37.4,6.71
427,Ust-Koksa,12,RU,1515300435,52,50.2696,85.6156,0.84,1.61
428,Englehart,1,CA,1515297600,82,47.8215,-79.8748,-22.01,8.05
429,Olavarria,0,AR,1515300436,62,-36.8928,-60.3226,56.46,3.62
430,Mantua,75,IT,1515298800,93,45.1567,10.7917,48.2,3.36
431,Novo Oriente,88,BR,1515300438,99,-5.5351,-40.7749,66.32,0.72
432,Abay,0,KZ,1515297600,69,49.6331,72.8684,-11.21,13.42
433,Tursunzoda,48,UZ,1515297600,69,38.5128,68.2348,35.6,2.95
434,Marsala,0,IT,1515298800,67,37.7966,12.4352,69.8,25.28
435,Ambilobe,100,MG,1515300441,100,-13.1945,49.05,72.66,7.2
436,Velikiy Ustyug,68,RU,1515300442,82,60.7613,46.3015,23.52,12.57
437,Riyadh,0,SA,1515297600,43,24.632,46.7151,48.2,4.7
438,Dharan,24,NP,1515300443,69,26.8126,87.2838,52.01,2.17
439,Akdepe,90,TM,1515297600,100,42.0531,59.3876,35.6,6.93
440,Fenoarivo,75,MG,1515299400,93,-18.933,47.4354,66.2,17.22
441,Raduzhnyy,36,RU,1515300445,81,62.0961,77.475,12.27,10
442,Havre-Saint-Pierre,90,CA,1515297600,64,50.2334,-63.5987,-4.01,21.92
443,Zverinogolovskoye,20,RU,1515300446,34,54.4586,64.8542,-9.51,6.64
444,Kaspiysk,90,RU,1515297600,93,42.8816,47.6392,35.6,4.47
445,Suoyarvi,92,RU,1515300448,77,62.082,32.3459,24.96,9.44
446,Panaba,0,MX,1515300448,84,21.2833,-88.2667,61.32,4.74
447,Aleksandrov,76,RU,1515300449,96,56.4,38.71,32.75,12.8
448,Ust-Tsilma,92,RU,1515300449,75,65.441,52.1498,20.87,8.1
449,Murwara,0,IN,1515300450,68,23.85,80.4,67.44,4.41
450,Codajas,20,BR,1515300451,95,-3.8367,-62.057,74.96,2.62
451,Filadelfia,8,PY,1515300451,76,-22.3529,-60.0358,78.33,8.77
452,Gamboula,0,CF,1515300452,73,4.12,15.1362,58.49,2.73
453,Larsnes,92,NO,1515298800,74,62.202,5.5761,35.6,33.33
454,Inongo,8,CD,1515300454,89,-1.9254,18.2864,74.73,2.73
455,Liwale,56,TZ,1515300455,86,-9.802,37.9242,74.82,3.62
456,Port Hawkesbury,44,CA,1515300455,100,45.6181,-61.3575,11.91,18.16
457,Pitsunda,0,GE,1515297600,93,43.1598,40.3372,37.4,4.47
458,Comodoro Rivadavia,0,AR,1515297600,56,-45.8654,-67.4808,68,10.29
459,Saint Stephen,40,US,1515298500,51,45.7027,-94.2745,12.2,11.41
460,Oussouye,8,SN,1515300458,91,12.489,-16.5433,70.1,16.15
461,Pitimbu,40,BR,1515297600,78,-7.4729,-34.8113,78.8,4.7
462,Sikasso,8,ML,1515300459,71,11.3165,-5.6778,55.34,2.73
463,Gloggnitz,75,AT,1515298800,93,47.6758,15.9374,42.8,4.7
464,Gazanjyk,76,TM,1515300460,95,39.2446,55.5154,38.96,2.39
465,Antonina,75,BR,1515297600,87,-25.4299,-48.7126,60.8,9.17
466,Portobelo,92,PA,1515300462,100,9.55,-79.6501,79.14,13.8
467,Thunder Bay,90,CA,1515298140,78,48.4064,-89.2598,15.8,11.41
468,Pelym,0,RU,1515300463,82,61.0108,61.9978,7.86,6.2
469,Coari,12,BR,1515300463,96,-4.0886,-63.1432,75.59,2.39
470,Teguldet,76,RU,1515300464,64,57.3064,88.1672,3.72,9.22
471,Baghmara,0,IN,1515300464,65,23.795,86.2085,65.28,5.64
472,Fuerte Olimpo,48,BR,1515300465,92,-21.0386,-57.8749,72.8,2.51
473,Tarata,0,PE,1515300465,90,-17.4748,-70.0321,30.27,2.06
474,Paita,56,PE,1515300466,82,-5.0851,-81.1138,69.24,5.08
475,Cetraro,12,IT,1515300467,77,39.5166,15.9416,35.76,2.73
476,Mandera,0,ET,1515300468,35,3.9384,41.8573,75.18,8.55
477,Evinayong,92,GQ,1515300468,98,1.4388,10.5517,67.98,2.95
478,Horodyshche,92,UA,1515297600,100,50.7612,29.2944,39.2,6.71
479,Novo Aripuana,68,BR,1515300469,95,-5.1206,-60.3798,75.86,1.61
480,Oskemen,75,KZ,1515297600,75,49.9565,82.6119,-13.01,2.51
481,Kutum,0,SD,1515300470,53,14.2031,24.6617,42.47,8.21
482,Przhevalskoye,88,RU,1515300471,94,55.5093,31.8482,33.56,14.03
483,Guanica,75,PR,1515297000,88,17.9716,-66.908,77,13.87
484,Maniwaki,0,CA,1515300472,44,46.381,-75.9842,-14.64,4.97
485,Sonkovo,88,RU,1515300473,92,57.7779,37.1569,31.31,14.25
486,Ovada,75,IT,1515298800,76,44.6383,8.6453,51.8,9.17
487,Garowe,0,SO,1515300474,69,8.4061,48.4832,66.27,6.2
488,Saint-Denis,92,FR,1515299400,93,48.9358,2.358,42.8,13.87
489,Bodden Town,88,KY,1515300476,100,19.2833,-81.25,74.69,29.68
490,Talas,40,TR,1515298800,93,38.6908,35.5519,35.6,5.82
491,Trinidad,0,UY,1515300477,48,-33.5174,-56.898,56.37,6.2
492,Oistins,40,BB,1515297600,78,13.0667,-59.5334,78.8,18.34
493,Warmbad,90,DE,1515298800,100,50.6652,13.0805,39.2,10.29
494,Naguabo,40,PR,1515297360,88,18.2121,-65.7349,78.8,12.75
495,Rosario,0,UY,1515300480,43,-34.3116,-57.3513,58.62,8.43
496,Trincomalee,0,LK,1515300481,71,8.5764,81.2345,82.07,9.55
497,Fort-Shevchenko,48,KZ,1515300482,100,44.5086,50.263,29.19,8.21
498,Kautokeino,24,NO,1515300483,72,69.0125,23.0412,13.26,7.43
499,Campo Maior,32,ES,1515300484,82,39.0123,-7.0693,33.51,9.1
500,Norton Shores,90,US,1515298740,72,43.1689,-86.264,14,9.17
501,Imbituba,20,BR,1515297600,73,-28.24,-48.6703,73.4,8.05
502,Dakar,0,SN,1515297600,88,14.6934,-17.448,66.2,16.11
503,Povenets,92,RU,1515300487,91,62.8487,34.8262,31.22,9.22
504,Abonnema,0,NG,1515300487,91,4.7084,6.7931,62.81,2.95
505,Pulaski,1,US,1515298800,60,37.0479,-80.7798,14,2.62
506,Kabare,80,RW,1515300490,100,-1.6486,29.3755,60.29,3.4
507,Kasamwa,75,TZ,1515297600,93,-2.8428,32.4235,66.2,2.17
508,Valdivia,32,CL,1515300491,95,-39.8142,-73.2459,49.76,3.4
509,Skibbereen,20,IE,1515297600,100,51.55,-9.2667,33.8,11.41
510,Seminole,1,US,1515298500,86,32.719,-102.645,42.8,8.05
511,Qazvin,90,IR,1515297600,100,36.2804,50.0067,26.6,6.2
512,Takoradi,0,GH,1515300495,100,4.8874,-1.752,78.24,10
513,Sligo,0,IE,1515300496,85,54.2721,-8.4752,23.3,5.75
514,Makushino,0,RU,1515300496,35,55.2083,67.2527,-9.65,4.41
515,Sekoma,92,BW,1515300498,38,-24.5125,23.9293,85.22,2.17
516,Liverpool,0,GB,1515298800,93,53.4055,-2.9806,33.8,5.82
517,Washim,0,IN,1515300499,42,20.1029,77.1354,79.23,7.54
518,Kadnikov,68,RU,1515300499,91,59.5001,40.3396,30.77,14.25
519,Marzuq,0,YE,1515300500,49,14.4,46.4667,60.78,3.51
520,Neuquen,0,AR,1515297600,53,-38.9517,-68.0591,73.4,13.87
521,Qostanay,0,KZ,1515297600,76,53.1667,63.5833,-7.61,4.47
522,Chatellerault,90,FR,1515299400,100,46.8,0.5333,42.8,13.87
523,Melbu,64,NO,1515300502,100,68.5044,14.8297,32.16,9.44
524,Mga,90,RU,1515297600,88,59.7569,31.061,32,17.9
525,Goksun,0,TR,1515297000,80,38.021,36.4973,35.6,5.82
526,Shafranovo,80,RU,1515300505,85,53.9667,54.7667,15.29,9.78
527,Ouadda,8,CF,1515300505,40,8.0716,22.3962,64.56,13.69
528,Putina,12,PE,1515300506,79,-14.9141,-69.8685,25.23,2.73
529,Floro,92,NO,1515298800,86,61.5996,5.0328,33.8,24.16
530,Marica,75,BR,1515297600,100,-22.9195,-42.8187,78.8,3.36
531,Tingo Maria,88,PE,1515300508,98,-9.2896,-76.0088,62.13,1.95
532,Surt,12,LY,1515300509,86,31.2089,16.5887,60.42,16.82
533,Bayonet Point,1,US,1515299700,100,28.3267,-82.6835,50,3.36
534,Faya,40,SA,1515297600,100,18.3851,42.4509,50,3.51
535,Toamasina,75,MG,1515297600,78,-18.1667,49.3833,78.8,6.93
536,Otkaznoye,90,RU,1515297600,93,44.3235,43.8495,39.2,4.47
537,Mwinilunga,32,ZM,1515300512,93,-11.7315,24.426,63.89,4.18
538,Rio Verde de Mato Grosso,92,BR,1515300512,98,-18.917,-54.8411,69.74,3.74
539,Monroe,1,US,1515298560,83,41.9145,-83.3969,1.4,7.54
540,Bousse,90,FR,1515299400,100,49.2763,6.1984,44.6,14.99
541,Aasiaat,20,GL,1515300515,100,68.7098,-52.8699,24.65,15.7
542,Salta,0,AR,1515297600,93,-24.7894,-65.4102,66.2,0.72
543,Rajula,0,IN,1515300516,41,21.0386,71.4439,76.53,10
544,Moose Factory,90,CA,1515297600,76,51.2585,-80.6095,-11.21,14.99
545,Bakchar,76,RU,1515300517,67,57.0205,82.0669,2.82,5.75
546,Delta del Tigre,0,UY,1515297600,51,-34.7602,-56.409,59,9.17
547,Haileybury,1,CA,1515297600,82,47.4442,-79.6361,-22.01,8.05
548,Huarmey,64,PE,1515300519,91,-10.0688,-78.1522,61.59,2.62
549,Njombe,44,TZ,1515300520,88,-9.3381,34.7694,67.44,8.55
550,Kaniama,88,CD,1515300520,99,-7.5667,24.1833,63.89,2.95
551,Morogoro,75,TZ,1515297600,94,-6.8162,37.6694,71.6,4.07
552,Mashhad,75,IR,1515297600,80,36.2975,59.6059,41,11.41
553,Zambezi,0,ZM,1515300523,71,-13.5501,23.1152,70.37,11.01
